BRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
BGR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,59.3209803494,68.4522749851,63.2415480275,63.3415469635,53.7880616025,48.4942558334,41.3362337853,32.2694601172,29.3711871804,23.7839840289,19.7069234832,21.8655030076,21.5971751713,20.6203479547,21.9505122165,21.9912142341,32.0907597699,30.267178012,..,..
BFA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
BDI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,88.7936648765,103.9915799041,117.6309794284,117.0125899339,128.9192190598,144.0976814899,134.2470828471,151.2772113943,162.5614404919,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
KHM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61.7797768244,67.472717314,70.7247992023,75.2209216124,75.9662675568,77.3549922615,78.1025713429,75.0066932035,72.1942398071,66.0424149988,58.502059181,57.0877812899,53.7877947155,50.9576386751,46.5480949956,45.6753148138,42.9036990176,38.782306302,43.73228517,52.1541568173,52.265495319,53.0119406392,54.7753795243,51.7177048925,50.3362131432,54.7111987606,53.2499911223,..
CSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70.4840615528,64.3570510908,60.4128309985,..,..,..,..,..,..,..,..,..,..,53.4774608323,52.2837843422,..,..,..,..,..,..,..,..,..,..
CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CEB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.9950834634,37.2609556847,36.1449277948,36.0124691774,37.6779975541,38.7565060237,38.0054747469,37.7479468653,37.8712666277,36.6359522046,38.3111417216,44.0737932321,47.4461558522,49.8619253726,52.4291904765,54.0589301806,53.7333645875,53.0756214367,..,..
TCD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CHN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
COL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.4039154911,19.0653508704,17.7090216802,..,..,52.5354195334,..,..,..,..,64.7649363553,68.5788404568,72.3377931601,62.7718093739,65.4503129893,67.4425362809,80.2975216131,67.1165461047,..,..
COM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
COD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,289.8447270849,120.302180391,128.7752299971,103.9872236293,169.7865805368,232.9362357557,243.5955062697,152.1870019023,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
COG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,283.7452563306,..,..,..,0.2139181514,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.2540039316,30.3293746107,40.4024772001,40.2721730159,38.6669745555,39.4903699636,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CIV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,171.0654426273,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
HRV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CUB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CYP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86.6187458379,96.3842337021,95.8339898011,100.3304422756,91.6683134056,..,..,..,141.3463760877,143.4571088472,142.9259931144,147.359080773,154.9493075769,163.6620728417,163.6193756548,161.7629366614,152.7294264372,144.5456616511,131.7221226656,88.783800573,92.8801523356,103.1475335891,115.0853649766,143.8592354649,151.8632865421,152.6599233438,..,..
CZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.0032484073,14.2408184702,12.3343554108,10.2240290585,9.7980813091,9.7939546912,10.9085951817,12.6453766495,14.2120413833,14.8078578228,17.5304328952,19.2633909591,21.0736924688,22.6634248906,23.1247352759,24.4160528134,29.5898824706,33.5564519984,36.2587712937,40.639550808,40.612933515,38.2096612807,36.7380561722,..,..
DNK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,62.1353521584,66.6274834401,78.2391600769,75.2616064255,73.6952752722,71.1120342934,67.5639478628,64.9769643538,59.2184908673,52.6028101336,50.6171957367,50.3155067359,47.6950424952,43.2452568093,36.0742605222,32.3856003234,25.1822905434,32.261541963,38.391353099,42.7397916867,49.5516700291,49.9659103262,46.2515229233,48.4996624108,42.5545748237,..,..
DJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79.5258936244,78.8471745406,68.6146520892,77.51,74.8861480076,66.9851530454,60.560328539,53.6872112222,56.6920660583,54.639395441,65.2252902961,64.1721529307,64.3174570896,..,..,..
DOM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.0872018656,17.9504773454,..,16.7403597955,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
EAR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
EAS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
EAP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
TEA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ECU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
EGY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,85.7885338346,..,..,..,..,..,..,..,..,..,..
SLV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,224.5269977682,255.2079071297,245.642259462,31.4522142666,55.2775972097,50.9726385187,49.0850281359,48.3368238777,43.5665500493,41.0233326204,40.6444884618,49.5367365519,49.5206675777,47.8297797154,..,56.3518518595,45.8447854265,46.1331121354,..,..
GNQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ERI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
EST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.4460583451,0.503811811,0.2599646421,0.2439618075,0.2848705762,0.3120406499,0.3294449827,0.3471862928,0.3278840128,0.2842240357,0.3294005875,0.539454552,0.5196650469,0.399130649,0.880086681,0.8969901417,0.9183259971,0.8628775025,..,..
ETH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48.3529569209,50.885878765,44.3811735667,73.2874344893,92.5041549448,82.6296763565,72.1500093626,69.4216870598,77.96167911,85.5546979166,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
EMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,69.2083741151,65.1079171799,62.4341003659,60.8086783509,61.5053472057,61.2855891366,61.8510763217,62.5625555057,59.2348190931,56.1870958316,60.7509908623,68.734861946,72.414708727,73.7415035744,83.2992877854,85.6411602077,92.8023898468,91.5287599044,..,..
ECS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67.5909533465,62.3561144829,56.490737234,53.5053409605,53.8875996682,54.8820886708,53.3484095618,53.2156383038,50.4365821671,47.9922779033,51.9831721483,59.4533272321,63.137735597,65.5309746473,72.0160586738,72.8136077416,78.8888027573,78.1289197211,..,..
ECA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,96.9283255653,..,..,..,..,..,..,..,..,..,17.7343676681,22.9573003413,22.3386869683,21.9528681267,21.4620796509,20.3923113652,22.8209037803,24.1403375059,..,..
TEC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,87.8083087721,78.2895326509,53.2434447923,44.5201775274,40.7118140317,..,..,24.0240380982,19.5188012915,17.1588631276,22.7826937948,27.5218569824,27.2874924083,27.1173375466,26.6805431896,26.0138548404,27.3524990416,28.5454921593,..,..
EUU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.8068212862,41.8487900882,..,..,63.0655268461,66.0121291666,65.9223608386,64.3396007854,60.6207861137,58.0936359121,55.9355653037,56.6361708505,56.4714312245,57.2573120604,57.9390183862,55.1533608988,52.6520171019,57.8342270664,66.348527557,71.2022754377,74.5033514491,82.3859096267,83.5802995822,90.6253651126,89.3316585942,..,..
FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
FJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.8418217434,33.6867480346,36.5528455285,36.6378536147,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
FIN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.4697492427,17.0031065924,34.0788080381,51.60067094,58.2352177727,..,..,..,73.6812812547,63.2154928579,54.6598072816,48.8102079107,46.2913634862,47.5328068404,45.5674955987,41.3718846381,38.6892140846,34.2842901857,32.8411912591,40.9299062581,46.8113308391,47.8922532242,52.398116711,53.4962609055,58.0248595929,59.4164506876,..,..
FCS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
