"Data Source","World Development Indicators",

"Last Updated Date","2017-10-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Antigua and Barbuda","ATG","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","-12.3876177349394","-2.50343273731404","-17.8767937486567","-14.3040794806345","-22.1182460624186","-25.3088629916689","-4.99604403594956","0.287945379960814","-9.58808881733991","-40.7261826367235","-33.0051854620764","-11.2977353708031","-18.607365511879","-6.7436933046314","-6.41930987459625","-1.9769162939518","2.81321400876769","-1.07637019317923","-0.0898208587130723","-9.37949626570513","-6.96045886897197","-6.42573191162573","-7.88645077230935","-8.08976292640713","-7.14780065631938","-10.1767121822156","-11.4746125419075","-10.4082630933378","-16.8961884330396","-25.3922467567364","-29.6005708996126","-26.4148344313425","-13.8804376644372","-14.5570929495742","-10.3070732502147","-13.718336687861","-17.0919385975948","","","",
"Australia","AUS","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-6.1145587285664","-4.98750236673823","-3.24660605529223","-3.16657692014908","-2.97385697254462","-4.90786520470249","-5.06776787788304","-3.58487955405478","-2.7311505756592","-4.44759049356941","-5.60090067775592","-3.72786500946023","-2.1079285844299","-4.05493711000548","-6.27771849234683","-6.73160711948481","-6.24750453113811","-6.0620990457798","-7.5153041121635","-4.93887491879197","-5.27395157045785","-3.91242933287715","-3.19520558702091","-4.19211687211152","-3.0546952621772","-2.89924233695317","-4.31032330594912","-2.73058462524723",
"Austria","AUT","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.98476653543258","3.28867685350128","3.81691743455568","4.51486298226673","2.58997928312878","2.94159504069618","1.58365261089167","1.50773626179933","1.95626964269919","2.31552649175663","1.92084961541205","1.7127243901583",
"Azerbaijan","AZE","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-13.1254467759284","-29.312414236782","-23.1093106057728","-30.6882457885523","-13.0904580061879","-3.18196815285284","-0.906754298668071","-12.321973175817","-27.7741943440845","-29.8280202935418","1.26316311439409","17.6695490613313","27.2883243190353","33.678544063861","22.9725301709198","28.4303731948664","25.9962274288622","21.4911869560134","16.4927257167165","13.5675673448673","-0.41921363920559","-3.60234157725322",
"Burundi","BDI","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","-3.59026812582895","-3.00942472812131","-8.41652238216762","-6.47258561238188","-1.03144329893231","-6.13410034398202","-2.85038738673383","-5.50382096415844","-2.99542008499923","-1.82525676729153","1.04416596056391","-4.60400356055959","0.630045184343134","-5.44160379280805","-2.61184612113877","-5.76258887448881","-4.18720201167941","-0.397990077144825","-3.04630146043228","-3.53655815425186","-0.510013256366986","-10.4886467340881","-8.20800913011198","-16.0927464207857","-9.26441555340614","-14.8496364075134","-12.0384188829793","-10.5629688880996","-9.52030726656518","-12.7103331152086","-12.0973949577664","",
"Belgium","BEL","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.48556284478559","3.38243471697153","3.08061008920572","1.988462373102","1.84111250236551","1.49236796199578","-0.826323175996057","-1.08166282282218","1.64974607138696","-1.04109981148119","-0.0471428255117543","-0.302856221327419","-0.678378606060781","0.425261846889213","-0.410086750043167",
"Benin","BEN","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","-5.27758651405042","-7.88628294719232","-9.28064262566191","-7.55459383219656","-9.72524025636972","-4.37113746687234","-2.5420576892276","-7.23139294704359","-29.7501244086821","-12.3059404856611","-5.42956701524047","-3.72498945939993","-3.95504625740743","-2.19467545561387","-6.51092368709819","-0.893468996044377","-0.925585973242121","-10.893080681888","-4.28904687368759","-2.58299689570664","0.660280512491468","-7.69564306864425","-1.7345747752923","-6.78725067575079","-5.39740012815666","-5.78397409731434","-3.13650787559773","-2.79555501960946","-5.11348940516087","-8.480812204075","-6.38057009610549","-4.70646816301719","-4.21994116234879","-8.94638270881773","-7.51488756834028","-9.14353085460341","-7.60859708473868","-6.6055430333693","-7.07715526502676","-7.35168696210276","-9.11584710304215","-8.98229427602841","",
"Burkina Faso","BFA","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.6117648447844","-9.29826036860358","-8.27015235049565","-11.5074638193876","-4.5409321530884","-2.02058598020656","-1.49367792562468","-1.45353696955604","-11.2711012656472","-8.04492077967162","","",
"Bangladesh","BGD","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","-2.73115105375932","-2.91113742780808","-2.89047855609156","-2.67224064450434","-3.8710788966539","-5.0204218554513","-2.70261503542757","-0.260095325762879","-2.52446691018841","-2.04311325466852","-2.87122454357184","-0.975865069282383","-1.02651167386018","-3.82036362164307","-1.25927362343973","0.208651435658417","0.570158879332293","1.08321173519325","0.590988237740182","-2.17154893996717","-2.13490821489577","-0.593464728711528","-0.0703537046583936","-0.710651968609125","-0.573042663299641","-0.991687231894648","1.35086830489484","0.218816448007947","-0.428022753319864","0.731114940933614","1.66538337953829","1.07621192542407","1.01077432985677","3.47014347494473","1.82904182016697","-0.125812447167656","1.93130081800403","1.37240298059038","0.437162722543549","1.3773612866238","",
"Bulgaria","BGR","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","4.80865418169129","0.613990941117262","0.91510702099059","0.217343180857701","3.04064614519954","-0.792752329323553","-4.69646000732052","-2.56218639906053","-1.78223553987341","-3.49729150664996","-8.28805964230479","-0.702697126013265","-3.47712151394422","-10.146162596186","-0.327922374429224","-0.197498012216043","0.155300943083066","3.81309474793083","-0.423160191210707","-4.83237400620125","-5.35199572173483","-5.69243604011178","-1.95007500660552","-4.85013546652479","-6.40409461952738","-11.2233811087246","-17.0917531441833","-25.5485736303728","-21.7231830811078","-8.21947583444627","-1.90598578651744","0.474569201708586","-0.980687017296562","1.21710057358702","0.176884277799627","-0.137711584143324","4.27127205640654",
