CYP,,,,,,,,,,,,,,,,,-4.6092206832,-14.2369571585,-19.1903913855,-18.6086346463,-11.990798167,-8.2297493088,-8.2515534053,-9.4925377191,-9.7277899557,-7.4155950189,-0.6119482198,-0.2075883877,-2.5142641949,-5.4491996749,-2.7604415453,-7.2840058141,-9.232955279,1.6656270138,1.0014050747,-2.0873479095,-4.7245569744,-4.3575447855,2.8146739795,-1.603782163,-4.792699131,-3.0494853331,-3.2635315887,-2.0035991245,-4.7453778213,-5.1908690086,-6.2702267991,-7.6041758855,-15.1689297787,-7.6571903642,-11.3681270996,-4.0079339396,-6.09906103,-4.9595782183,-4.3255448889,-2.9446789064,-5.1643773463
CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1527996917,-1.7309778454,-2.3070031444,-6.1812806113,-5.877386912,-1.9711252016,-2.2647765208,-4.3754167829,-4.8572069947,-5.2203311148,-5.8262496328,-3.7463104806,-2.0661076284,-2.5745808643,-4.7376900368,-1.8740911727,-2.3670700855,-3.5510251419,-2.2022792135,-1.5230744791,-0.5281172277,0.2202499979,0.2489742424,1.1086107888
DEU,,,,,,,,,,,,0.0427963538,0.1137510735,1.0534636334,2.0479189273,0.6337092794,0.7234780709,0.6527096126,1.2577421607,-0.6135077911,-1.653697406,-0.6652150559,0.7124639576,0.5661581594,1.2753529911,2.4657381386,3.7092418742,3.418985495,3.8655950743,4.0936891198,2.632113575,-1.4260948318,-1.1893641941,-1.0348047082,-1.5160466766,-1.2419066424,-0.6797412221,-0.5192128988,-0.6965606425,-1.4232431818,-1.7326487619,-0.3601129496,1.9124544751,1.4389405381,4.4718279993,4.6012551256,5.7049271443,6.7812766358,5.6202806078,5.8183734997,5.6490664904,6.0852768178,7.0236721306,6.7262488405,7.4288567177,8.5667512126,8.3409032686
DJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.072933157,14.6514283024,23.82567919,16.3154371249,15.5987157457,13.8618372345,10.6026685771,8.5320833908,12.9648892075,6.0419352567,12.0278460955,11.8252569135,12.7055171216,0.4730728617,2.8410579725,-2.1544879066,-20.2086361012,-22.5588808416,-6.7771884,4.4735713787,-13.8678242864,-10.9311673574,-21.2047103987,-24.8450961042,-31.718436749,
DMA,,,,,,,,,,,,,,,,,,-4.1242362525,-2.8779927845,14.2224080268,-24.1962774958,-19.3335757033,-10.8330934512,-2.189944393,-7.9043653902,-6.3917649711,-6.2691672174,-5.5497156593,-8.5077414535,-29.6732269204,-26.1706638163,-18.9457695308,-14.1438918397,-9.0791491878,-12.1394437378,-17.9616465531,-21.6384711779,-17.1908199093,-8.9238882758,-13.361460783,-17.8113038424,-15.1953380224,-14.0229189436,-15.1893094953,-15.7046010062,-20.5419012,-12.7703229602,-20.6346601978,-28.3474698967,-22.712104507,-16.237487624,-13.5545022961,-18.9553300668,-14.1900997321,,,
DNK,,,,,,,,,,,,,,,,-1.2107203088,-4.293573041,-3.4596675475,-2.4885811577,-4.3433260542,-3.3586522918,-3.0302783144,-3.7391027809,-2.2784932165,-2.906835347,-4.416067586,-5.0977932448,-2.7432459668,-1.159537406,-0.9942788099,0.9920963684,1.424513337,2.7457967724,3.3742000716,2.0423535629,1.002548243,1.6466625595,0.5308721136,-1.1345682185,1.7122402442,1.3778341309,2.9419447491,1.9371379917,3.1926610935,2.3633553392,4.198576266,2.9052112571,1.3817460186,2.8300521489,3.351692627,5.6468603011,5.7774591639,5.7312664664,7.0573801145,8.8545877739,9.1539414217,8.1127298632
DOM,,,,,,,,,-6.9687702715,-6.8833807395,-6.8601045604,-7.7652424388,-2.3650178634,-4.1199302307,-8.2376264698,-2.0226154524,-3.269727268,-2.8035140806,-6.5327580429,-6.0249507888,-10.8565825538,-5.3584699424,-5.5575085802,-4.8469032145,-1.5817393784,-2.1329768697,-2.9956562282,-6.2485120918,-0.3516727124,-4.8948696785,-3.952683874,-1.6175801857,-6.2770019707,-4.106683452,-1.9502265091,-1.1174621347,-1.1730762941,-0.831892849,-1.5983733634,-1.9769940244,-4.2777849786,-2.9759942472,-3.0028277185,4.8699155027,4.7255728837,-1.3907467647,-3.5808292199,-4.9044957776,-9.3596948794,-4.7603637453,-7.457198396,-7.5479657604,-6.5506207258,-4.0936235639,-3.3269441298,-1.879957094,-1.3656768243
DZA,,,,,,,,,,,,,,,,,,-11.0871671906,-13.4259208511,-4.9088271828,0.5883153513,0.2027164304,-0.4051067223,-0.1745827987,0.1386404548,1.7514588802,-3.5009327018,0.2116269666,-3.4518075777,-1.9431791485,2.2890784879,5.1770630043,,,,,,,,,,,,,,20.5236081242,24.714745044,22.4879579645,19.856239828,0.3145994927,7.5804694597,8.8363576155,5.784562435,0.5662477289,-4.4428221573,-16.524736929,
EAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
